player,position,espn_proj_pts,fantasyData_proj_pts,fantasySharks_proj_pts,ffToday_proj_pts,cbs_proj_pts,fantasyPros_proj_pts,ffAnalytics_robust_proj_pts,ffAnalytics_weighted_proj_pts,nfl_proj_pts,yahoo_proj_pts
Deshaun Watson,QB,140.2,154.16,4.55,124.3,223,188,144.089,139.4671993,115.2712,218.42
Tom Savage,QB,90.1,60.3,200.288,102.4,14,43.9,91.086,89.02540667,133.377,25.29
Josh McCown,QB,104.1,124.64,182.588,149.7,259,140.2,140.9569,144.4962944,166.6046,81.26
Cardinals,DST,104.7,120,143,137,229,119,118.22,118.6139964,99.01,79.9
Broncos,DST,101.4,107,159,133,223,121.9,111.335,127.0249524,109.23,76.1
Doug Martin,RB,116.2,118.5,133,116.6,117,117.02,118.5075,110.2195834,5.565,150.5
Ravens,DST,101,96,91,105,212,103.4,97.53,95.45555052,101.1,73.9
Texans,DST,101.7,109,143,104,214,114.2,105.525,106.2792796,104.53,82.6
Cody Kessler,QB,130.4,107.12,199.456,116.3,100,78.8,135.0755,137.8366872,144.905,180.05
Philip Rivers,QB,253.3,280.68,258.518,262.7,332,272,262.6775,254.8782014,183.945,263.87
Paxton Lynch,QB,141.1,89.22,36.06,53.3,91,79.7,67.676,68.74385405,6.058,69.01
Seahawks,DST,109.5,99,143,112,212,110,100.87,114.7655732,110.78,90.3
Matt Ryan,QB,303.8,289.04,317.054,280.2,389,286,298.981,294.4329527,257.6544,293.74
Cam Newton,QB,292.1,288.5,284.414,262.6,355,275.4,284.90425,282.0220682,217.937,308.9
Joe Mixon,RB,161.5,152.1,163.46,149.2,127,147.81,143.14,136.9131393,48.235,142.5
Christian McCaffrey,RB,160.9,141,164.89,113.5,130,139.29,138.755,136.188377,54.67,164.8
Jameis Winston,QB,277.1,290.9,276.974,282,352,285,281.5655,274.194339,216.262,277.3
Jaguars,DST,110.6,98,128,73,182,104,96.44,93.29404622,107.54,73
Vikings,DST,103.2,110,108,102,199,112.6,105.46,105.2515043,113.33,84.7
Jared Goff,QB,176.2,178.82,118.526,118.3,198,164,141.999,142.6094855,103.154,153.5
Brian Hoyer,QB,198.3,154.82,247.276,151.5,208,163.2,169.845,174.0402946,151.7922,183.9
Eli Manning,QB,251.1,254.46,252.706,241.7,291,260.8,243.75,236.420135,171.8688,245.15
Chiefs,DST,96.2,116,155,129,180,118.6,106.17,120.447961,102.95,76.5
Kirk Cousins,QB,269.7,281.74,307.386,255.5,331,282.7,277.445,274.1256312,221.6422,298.32
Drew Brees,QB,311.7,310.52,313.392,302.1,374,310.7,308.646,303.3623639,250.7058,319.62
John Ross,WR,70.3,77.1,4.02,52.1,89,78.53,76.7325,73.38847673,99.476,112.57
Samaje Perine,RB,72.9,96.4,25.55,84.2,109,97.87,83.73925,82.66578676,44.073,122.3
Dalvin Cook,RB,146.6,126.9,127.38,126,103,133.98,127.3475,121.6914871,48.337,151
Dak Prescott,QB,273.2,282.62,283.744,258.7,334,275.3,276.7345,271.6174432,221.571,297.68
Blake Bortles,QB,242.3,248.36,259.914,242.5,308,260.8,246.9245,246.9221771,194.353,269.14
Marcus Mariota,QB,266.7,284.04,264.712,273.6,330,276.1,272.875,270.420514,220.493,303.2
DeShone Kizer,QB,74,99.94,-0.396,57,44,66.6,50.961,53.67686154,45.6,91.52
Jeremy Hill,RB,57,82.3,121.02,73.2,87,78.9,88.88,96.45123504,157.485,92.8
Trevor Siemian,QB,92.4,143.88,193.828,177.7,135,156.6,142.0337,144.839324,167.9208,135.51
Joe Flacco,QB,236.9,236.28,232.848,240.6,295,232.2,235.0275,230.9059498,179.3342,243.52
Andy Dalton,QB,253,277.18,267.672,264.8,300,258,260.62,257.8015195,193.1808,278.06
Steelers,DST,105.8,93,104,109,182,115.8,100.6,101.1962302,104.32,83.6
Pierre Garcon,WR,122.9,110.6,125.99,136,43,105.77,119.24625,115.973401,133.896,127.5
Carson Wentz,QB,249.6,266.14,212.678,246.7,265,246.4,240.57175,235.2787613,176.4846,245.62
Joe Williams,RB,58.9,55.1,10.51,92.9,37,62.51,58.48,61.19408022,38.542,102
Derek Carr,QB,265.1,279.1,276.366,258.2,307,264.7,261.427,259.3270025,201.9632,264.58
Bengals,DST,106.4,90,89,95,172,118.5,95.03,107.9393974,98.45,80.6
Andrew Luck,QB,299.3,305.84,271.11,291.6,322,311.7,296.538,287.5013957,237.9588,322.2
Aaron Rodgers,QB,326.2,337.38,353.272,348.7,406,334.8,342.583,340.5186515,310.5204,352.62
Frank Gore,RB,162,142.4,148.73,163.5,108,141.1,144.82475,141.4706003,172.011,93.6
O.J. Howard,TE,67.1,61.5,114.19,50.6,71,58.34,69.695,71.83698233,22.227,91.7
Ben Roethlisberger,QB,259.5,263.14,260.854,256.8,323,263.3,263.176,259.8622031,226.8656,255.67
Mike Williams,WR,70.3,75.2,23.34,56.6,91,74.26,75.91575,75.98186453,98.211,109.6
Corey Davis,WR,104.7,95.4,101.91,80.8,88,92.67,95.54,93.59332359,36.47,130.6
Giovani Bernard,RB,95.5,77.2,121.8,60.1,47,68.08,86.1325,91.28602328,115.324,93.4
Carson Palmer,QB,241.7,239.52,261.206,237.1,298,251.7,242.40275,236.9758621,210.2814,225.36
Marqise Lee,WR,97.4,76.9,106.8,55.4,62,79.58,91.837,94.67676725,116.672,128.08
Chris Ivory,RB,41.6,36.4,70.29,46.6,39,35.83,47.0725,58.18503352,111.151,48.6
Matthew Stafford,QB,283.6,274.04,279.324,270.8,298,267.9,273.0705,265.4883292,210.273,272.04
James White,RB,87.7,95.1,88.78,93.6,107,94.82,103.34,109.6020551,165.313,111.2
T.J. Yeldon,RB,53.8,53.9,106.8,56.1,30,51.94,56.43625,66.18018286,45.832,90.6
Sam Bradford,QB,217,231.3,247.302,221.8,279,214.5,222.781,221.4654891,201.2244,210.7
Latavius Murray,RB,80.7,106.9,146.86,91.2,134,101.66,115.69775,118.58631,146.5,121.8
Laquon Treadwell,WR,66.2,50,11.07,28.1,30,48.34,48.705,50.5330602,67.89,87.2
Andre Holmes,WR,73.7,48.9,29.69,26.5,37,47.47,55.59425,58.0136102,74.098,95.8
Tom Brady,QB,329.1,320.62,339.452,327.4,368,322.2,328.46,322.4973001,280.7478,336.06
Zach Zenner,RB,38.5,47.1,111.05,61.1,50,48.25,52.17275,58.63695961,32.473,50.8
Quincy Enunwa,WR,114.4,102.5,112.47,104.5,47,101.17,105.536,103.7634235,96.191,129.92
Breshad Perriman,WR,81.2,89.2,80.33,70.5,78,87.76,91.248,97.57037338,116.467,142.66
Charles Sims,RB,93.2,86.9,109.18,99.6,66,84.45,95.6325,101.0488049,148.792,104.6
Sterling Shepard,WR,97.1,93.3,92.56,65.2,88,91.11,89.646,82.47981084,31.814,107.59
Torrey Smith,WR,83.4,68.6,29.47,70.5,51,70.94,68.045,70.21294516,59.015,112
Robert Kelley,RB,114.3,107,127.85,103.8,99,112.1,111.583,116.8169832,169.565,94.3
Ryan Tannehill,QB,247.7,252.34,247.742,255.7,294,242.9,246.3925,245.2783229,206.586,256.22
Josh Doctson,WR,91.9,83.4,46.44,46.4,72,76.4,79.4185,79.72342794,106,108.8
Russell Wilson,QB,295.1,306.16,298.7,295.6,329,305.8,296.056,291.7119118,248.0168,314.2
Curtis Samuel,WR,90.3,82.2,41.38,54.6,85,79.03,84.29975,84.51056913,105.524,110.8
Aaron Jones,RB,50.1,26,6.56,10.1,3,29.98,33.017,37.19163375,50.445,65.1
Hunter Henry,TE,96.5,96.2,111.93,105.5,72,104.33,97.38,94.27119776,45.641,113.4
Jerick McKinnon,RB,57.9,48.8,84.42,60.8,29,48.19,64.78775,69.88344905,98.381,79.9
Jonathan Stewart,RB,104.3,115.9,141.58,126.7,118,111.73,120.255,123.8271027,169.211,98.96
Kenny Golladay,WR,86.7,58.2,55.19,19.3,47,70.45,57.165,52.24271296,28.041,72
John Brown,WR,112.5,106.6,82.89,92.2,80,102.5,98.18,103.510519,87.633,150
LeGarrette Blount,RB,128.9,112.1,166.34,105.9,103,111.71,125.74625,128.9832945,149.716,133.83
Martavis Bryant,WR,146.8,129.6,122.19,120.4,87,117.82,121.0075,123.6109721,102.879,158.1
Chris Hogan,WR,61.1,62.4,88.24,47.2,68,60.77,71.025,75.03202873,119.81,65.3
Amari Cooper,WR,146.2,158.8,151.42,152.2,131,151.5,152.821,151.8865736,105.693,183.1
Andre Ellington,RB,50.5,3,33.36,58,4,54.15,49.21,45.76221603,45.30459387,39.06
Chargers,DST,103.3,106,87,108,153,93.1,93.78,96.30474622,99.91,83.15
Alex Smith,QB,212.1,232.28,243.44,255.4,270,237.4,230.438,229.3343318,218.7964,205.54
Eddie Lacy,RB,142,137,164.79,130.6,87,131.07,134.58875,135.355098,133.844,143.6
Tyrell Williams,WR,96.1,100.5,125.56,118.5,77,100.51,103.725,110.4614515,98.53875,146.7
Kevin White,WR,97.7,89.1,64.59,75.5,60,81.83,86.07375,88.89998852,94.893,127.7
Ameer Abdullah,RB,137.9,122.8,151.68,117.1,78,117.3,118.39,119.8638568,109.778,117.9
Titans,DST,94.7,85,80,95,149,97.2,98.42,98.99308111,103.47,99.6
Dolphins,DST,91.1,89,67,117,138,100.4,95.1,95.4518396,97.69,93.8
Carlos Henderson,WR,66.5,45,1.24,8.9,35,39.03,32.92,28.77720763,31.274,29.6
D'Onta Foreman,RB,64.3,59.4,13.59,64.7,45,54.9,57.5505,56.93376413,50.919,84.42
Jay Ajayi,RB,203.2,192.7,172.15,194.1,145,190.4,190.1275,189.2067597,188.345,209.6
C.J. Anderson,RB,125.8,132,175.98,134.1,125,130.08,143.36325,146.2387581,169.327,152.2
Jonathan Williams,RB,70.3,59.6,98.67,71.9,79,62.73,70.7075,72.09956059,29.227,78.04
